,Article,Question,Obj. 1,Obj. 2,Obj. 3,Obj. 4,Obj. 5,Obj. 6,Obj. 7,Obj. 8,Obj. 9,Obj. 10,Obj. 12,Obj. 13,Obj. 14,Obj. 15,Obj. 16,Sed Contra,Respondeo,Reply Obj. 1,Reply Obj. 2,Reply Obj. 3,Reply Obj. 4,Reply Obj. 5,Reply Obj. 6,Reply Obj. 7,Reply Obj. 8,Reply Obj. 9,Reply Obj. 10,Reply Obj. 11,Reply Obj. 12,Reply Obj. 13,Reply Obj. 14,Reply Obj. 15,Reply Obj. 16
10,"[I, Q. 2, Art. 1]
","Whether the Existence of God Is Self-Evident?
"," It seems that the existence of God is self-evident. Now
 those things are said to be self-evident to us the knowledge of which
 is naturally implanted in us, as we can see in regard to first
 principles. But as Damascene says (De Fide Orth. i, 1,3), ""the
 knowledge of God is naturally implanted in all."" Therefore the
 existence of God is self-evident.
"," Further, those things are said to be self-evident which
 are known as soon as the terms are known, which the Philosopher (1
 Poster. iii) says is true of the first principles of demonstration.
 Thus, when the nature of a whole and of a part is known, it is at once
 recognized that every whole is greater than its part. But as soon as
 the signification of the word ""God"" is understood, it is at once seen
 that God exists. For by this word is signified that thing than which
 nothing greater can be conceived. But that which exists actually and
 mentally is greater than that which exists only mentally. Therefore,
 since as soon as the word ""God"" is understood it exists mentally, it
 also follows that it exists actually. Therefore the proposition ""God
 exists"" is self-evident.
"," Further, the existence of truth is self-evident. For
 whoever denies the existence of truth grants that truth does not
 exist: and, if truth does not exist, then the proposition ""Truth does
 not exist"" is true: and if there is anything true, there must be
 truth. But God is truth itself: ""I am the way, the truth, and the
 life"" (John 14:6) Therefore ""God exists"" is self-evident.
",,,,,,,,,,,,,,," To know that God exists in a general and
 confused way is implanted in us by nature, inasmuch as God is man's
 beatitude. For man naturally desires happiness, and what is naturally
 desired by man must be naturally known to him. This, however, is not
 to know absolutely that God exists; just as to know that someone is
 approaching is not the same as to know that Peter is approaching, even
 though it is Peter who is approaching; for many there are who imagine
 that man's perfect good which is happiness, consists in riches, and
 others in pleasures, and others in something else.
"," Perhaps not everyone who hears this word ""God""
 understands it to signify something than which nothing greater can be
 thought, seeing that some have believed God to be a body. Yet, granted
 that everyone understands that by this word ""God"" is signified
 something than which nothing greater can be thought, nevertheless, it
 does not therefore follow that he understands that what the word
 signifies exists actually, but only that it exists mentally. Nor can
 it be argued that it actually exists, unless it be admitted that there
 actually exists something than which nothing greater can be thought;
 and this precisely is not admitted by those who hold that God does not
 exist.
"," The existence of truth in general is
 self-evident but the existence of a Primal Truth is not self-evident
 to us.
",,,,,,,,,,,,,
11,"[I, Q. 2, Art. 2]
","Whether It Can Be Demonstrated That God Exists?
"," It seems that the existence of God cannot be
 demonstrated. For it is an article of faith that God exists. But what
 is of faith cannot be demonstrated, because a demonstration produces
 scientific knowledge; whereas faith is of the unseen (Heb. 11:1).
 Therefore it cannot be demonstrated that God exists.
"," Further, the essence is the middle term of demonstration.
 But we cannot know in what God's essence consists, but solely in what
 it does not consist; as Damascene says (De Fide Orth. i, 4). Therefore
 we cannot demonstrate that God exists.
"," Further, if the existence of God were demonstrated, this
 could only be from His effects. But His effects are not proportionate
 to Him, since He is infinite and His effects are finite; and between
 the finite and infinite there is no proportion. Therefore, since a
 cause cannot be demonstrated by an effect not proportionate to it, it
 seems that the existence of God cannot be demonstrated.
",,,,,,,,,,,,,,," The existence of God and other like truths about
 God, which can be known by natural reason, are not articles of faith,
 but are preambles to the articles; for faith presupposes natural
 knowledge, even as grace presupposes nature, and perfection supposes
 something that can be perfected. Nevertheless, there is nothing to
 prevent a man, who cannot grasp a proof, accepting, as a matter of
 faith, something which in itself is capable of being scientifically
 known and demonstrated.
"," When the existence of a cause is demonstrated
 from an effect, this effect takes the place of the definition of the
 cause in proof of the cause's existence. This is especially the case
 in regard to God, because, in order to prove the existence of
 anything, it is necessary to accept as a middle term the meaning of
 the word, and not its essence, for the question of its essence follows
 on the question of its existence. Now the names given to God are
 derived from His effects; consequently, in demonstrating the existence
 of God from His effects, we may take for the middle term the meaning
 of the word ""God"".
"," From effects not proportionate to the cause no
 perfect knowledge of that cause can be obtained. Yet from every effect
 the existence of the cause can be clearly demonstrated, and so we can
 demonstrate the existence of God from His effects; though from them we
 cannot perfectly know God as He is in His essence.
",,,,,,,,,,,,,
12,"[I, Q. 2, Art. 3]
","Whether God Exists?
"," It seems that God does not exist; because if one of two
 contraries be infinite, the other would be altogether destroyed. But
 the word ""God"" means that He is infinite goodness. If, therefore, God
 existed, there would be no evil discoverable; but there is evil in the
 world. Therefore God does not exist.
"," Further, it is superfluous to suppose that what can be
 accounted for by a few principles has been produced by many. But it
 seems that everything we see in the world can be accounted for by
 other principles, supposing God did not exist. For all natural things
 can be reduced to one principle which is nature; and all voluntary
 things can be reduced to one principle which is human reason, or will.
 Therefore there is no need to suppose God's existence.
",,,,,,,,,,,,,,,," As Augustine says (Enchiridion xi): ""Since God
 is the highest good, He would not allow any evil to exist in His
 works, unless His omnipotence and goodness were such as to bring good
 even out of evil."" This is part of the infinite goodness of God, that
 He should allow evil to exist, and out of it produce good.
"," Since nature works for a determinate end under
 the direction of a higher agent, whatever is done by nature must needs
 be traced back to God, as to its first cause. So also whatever is done
 voluntarily must also be traced back to some higher cause other than
 human reason or will, since these can change or fail; for all things
 that are changeable and capable of defect must be traced back to an
 immovable and self-necessary first principle, as was shown in the body
 of the Article.
",,,,,,,,,,,,,,
13,"[I, Q. 3, Art. 1]
","Whether God Is a Body?
"," It seems that God is a body. For a body is that which has
 the three dimensions. But Holy Scripture attributes the three
 dimensions to God, for it is written: ""He is higher than Heaven, and
 what wilt thou do? He is deeper than Hell, and how wilt thou know? The
 measure of Him is longer than the earth and broader than the sea"" (Job
 11:8, 9). Therefore God is a body.
"," Further, everything that has figure is a body, since
 figure is a quality of quantity. But God seems to have figure, for it
 is written: ""Let us make man to our image and likeness"" (Gen. 1:26).
 Now a figure is called an image, according to the text: ""Who being the
 brightness of His glory and the figure,"" i.e. the image, ""of His
 substance"" (Heb. 1:3). Therefore God is a body.
"," Further, whatever has corporeal parts is a body. Now
 Scripture attributes corporeal parts to God. ""Hast thou an arm like
 God?"" (Job 40:4); and ""The eyes of the Lord are upon the just"" (Ps.
 33:16); and ""The right hand of the Lord hath wrought strength"" (Ps.
 117:16). Therefore God is a body.
"," Further, posture belongs only to bodies. But something
 which supposes posture is said of God in the Scriptures: ""I saw the
 Lord sitting"" (Isa. 6:1), and ""He standeth up to judge"" (Isa. 3:13).
 Therefore God is a body.
"," Further, only bodies or things corporeal can be a local
 term wherefrom or whereto. But in the Scriptures God is spoken of
 as a local term whereto, according to the words, ""Come ye to Him and
 be enlightened"" (Ps. 33:6), and as a term wherefrom: ""All they that
 depart from Thee shall be written in the earth"" (Jer. 17:13).
 Therefore God is a body.
",,,,,,,,,,,,," As we have said above (Q. 1, A. 9), Holy Writ
 puts before us spiritual and divine things under the comparison of
 corporeal things. Hence, when it attributes to God the three
 dimensions under the comparison of corporeal quantity, it implies His
 virtual quantity; thus, by depth, it signifies His power of knowing
 hidden things; by height, the transcendence of His excelling power; by
 length, the duration of His existence; by breadth, His act of love for
 all. Or, as says Dionysius (Div. Nom. ix), by the depth of God is
 meant the incomprehensibility of His essence; by length, the
 procession of His all-pervading power; by breadth, His overspreading
 all things, inasmuch as all things lie under His protection.
"," Man is said to be after the image of God, not as
 regards his body, but as regards that whereby he excels other animals.
 Hence, when it is said, ""Let us make man to our image and likeness"",
 it is added, ""And let him have dominion over the fishes of the sea""
 (Gen. 1:26). Now man excels all animals by his reason and intelligence;
 hence it is according to his intelligence and reason, which are
 incorporeal, that man is said to be according to the image of God.
"," Corporeal parts are attributed to God in
 Scripture on account of His actions, and this is owing to a certain
 parallel. For instance the act of the eye is to see; hence the eye
 attributed to God signifies His power of seeing intellectually, not
 sensibly; and so on with the other parts.
"," Whatever pertains to posture, also, is only
 attributed to God by some sort of parallel. He is spoken of as
 sitting, on account of His unchangeableness and dominion; and as
 standing, on account of His power of overcoming whatever withstands
 Him.
"," We draw near to God by no corporeal steps, since
 He is everywhere, but by the affections of our soul, and by the
 actions of that same soul do we withdraw from Him; thus, to draw near
 to or to withdraw signifies merely spiritual actions based on the
 metaphor of local motion.
",,,,,,,,,,,
14,"[I, Q. 3, Art. 2]
","Whether God Is Composed of Matter and Form?
"," It seems that God is composed of matter and form. For
 whatever has a soul is composed of matter and form; since the soul is
 the form of the body. But Scripture attributes a soul to God; for it
 is mentioned in Hebrews (Heb. 10:38), where God says: ""But My just man
 liveth by faith; but if he withdraw himself, he shall not please My
 soul."" Therefore God is composed of matter and form.
"," Further, anger, joy and the like are passions of the
 composite. But these are attributed to God in Scripture: ""The Lord was
 exceeding angry with His people"" (Ps. 105:40). Therefore God is
 composed of matter and form.
"," Further, matter is the principle of individualization.
 But God seems to be individual, for He cannot be predicated of many.
 Therefore He is composed of matter and form.
",,,,,,,,,,,,,,," A soul is attributed to God because His acts
 resemble the acts of a soul; for, that we will anything, is due to our
 soul. Hence what is pleasing to His will is said to be pleasing to His
 soul.
"," Anger and the like are attributed to God on
 account of a similitude of effect. Thus, because to punish is properly
 the act of an angry man, God's punishment is metaphorically spoken of
 as His anger.
"," Forms which can be received in matter are
 individualized by matter, which cannot be in another as in a subject
 since it is the first underlying subject; although form of itself,
 unless something else prevents it, can be received by many. But that
 form which cannot be received in matter, but is self-subsisting, is
 individualized precisely because it cannot be received in a subject;
 and such a form is God. Hence it does not follow that matter exists in
 God.
",,,,,,,,,,,,,
15,"[I, Q. 3, Art. 3]
","Whether God is the Same as His Essence or Nature?
"," It seems that God is not the same as His essence or
 nature. For nothing can be in itself. But the substance or nature of
 God--i.e. the Godhead--is said to be in God. Therefore it seems that
 God is not the same as His essence or nature.
"," Further, the effect is assimilated to its cause; for
 every agent produces its like. But in created things the suppositum
 is not identical with its nature; for a man is not the same as his
 humanity. Therefore God is not the same as His Godhead.
",,,,,,,,,,,,,,,," We can speak of simple things only as though
 they were like the composite things from which we derive our
 knowledge. Therefore in speaking of God, we use concrete nouns to
 signify His subsistence, because with us only those things subsist
 which are composite; and we use abstract nouns to signify His
 simplicity. In saying therefore that Godhead, or life, or the like are
 in God, we indicate the composite way in which our intellect
 understands, but not that there is any composition in God.
"," The effects of God do not imitate Him perfectly,
 but only as far as they are able; and the imitation is here defective,
 precisely because what is simple and one, can only be represented by
 divers things; consequently, composition is accidental to them, and
 therefore, in them suppositum is not the same as nature.
",,,,,,,,,,,,,,
16,"[I, Q. 3, Art. 4]
","Whether Essence and Existence Are the Same in God?
"," It seems that essence and existence are not the same in
 God. For if it be so, then the divine being has nothing added to it.
 Now being to which no addition is made is universal being which is
 predicated of all things. Therefore it follows that God is being in
 general which can be predicated of everything. But this is false: ""For
 men gave the incommunicable name to stones and wood"" (Wis. 14:21).
 Therefore God's existence is not His essence.
"," Further, we can know whether God exists as said above
 (Q. 2, A. 2); but we cannot know what He is. Therefore God's
 existence is not the same as His essence--that is, as His quiddity or
 nature.
",,,,,,,,,,,,,,,," A thing that has nothing added to it can be of
 two kinds. Either its essence precludes any addition; thus, for
 example, it is of the essence of an irrational animal to be without
 reason. Or we may understand a thing to have nothing added to it,
 inasmuch as its essence does not require that anything should be added
 to it; thus the genus animal is without reason, because it is not of
 the essence of animal in general to have reason; but neither is it to
 lack reason. And so the divine being has nothing added to it in the
 first sense; whereas universal being has nothing added to it in the
 second sense.
"," ""To be"" can mean either of two things. It may
 mean the act of essence, or it may mean the composition of a
 proposition effected by the mind in joining a predicate to a subject.
 Taking ""to be"" in the first sense, we cannot understand God's
 existence nor His essence; but only in the second sense. We know that
 this proposition which we form about God when we say ""God is,"" is
 true; and this we know from His effects (Q. 2, A. 2).
",,,,,,,,,,,,,,
17,"[I, Q. 3, Art. 5]
","Whether God Is Contained in a Genus?
"," It seems that God is contained in a genus. For a
 substance is a being that subsists of itself. But this is especially
 true of God. Therefore God is in a genus of substance.
"," Further, nothing can be measured save by something of its
 own genus; as length is measured by length and numbers by number. But
 God is the measure of all substances, as the Commentator shows
 (Metaph. x). Therefore God is in the genus of substance.
",,,,,,,,,,,,,,,," The word substance signifies not only what
 exists of itself--for existence cannot of itself be a genus, as shown
 in the body of the article; but, it also signifies an essence that has
 the property of existing in this way--namely, of existing of itself;
 this existence, however, is not its essence. Thus it is clear that God
 is not in the genus of substance.
"," This objection turns upon proportionate measure
 which must be homogeneous with what is measured. Now, God is not a
 measure proportionate to anything. Still, He is called the measure of
 all things, in the sense that everything has being only according as
 it resembles Him.
",,,,,,,,,,,,,,
18,"[I, Q. 3, Art. 6]
","Whether in God There Are Any Accidents?
"," It seems that there are accidents in God. For substance
 cannot be an accident, as Aristotle says (Phys. i). Therefore that
 which is an accident in one, cannot, in another, be a substance. Thus
 it is proved that heat cannot be the substantial form of fire, because
 it is an accident in other things. But wisdom, virtue, and the like,
 which are accidents in us, are attributes of God. Therefore in God
 there are accidents.
"," Further, in every genus there is a first principle. But
 there are many genera of accidents. If, therefore, the primal
 members of these genera are not in God, there will be many primal
 beings other than God--which is absurd.
",,,,,,,,,,,,,,,," Virtue and wisdom are not predicated of God and
 of us univocally. Hence it does not follow that there are accidents in
 God as there are in us.
"," Since substance is prior to its accidents, the
 principles of accidents are reducible to the principles of the
 substance as to that which is prior; although God is not first as if
 contained in the genus of substance; yet He is first in respect to all
 being, outside of every genus.
",,,,,,,,,,,,,,
19,"[I, Q. 3, Art. 7]
","Whether God Is Altogether Simple?
"," It seems that God is not altogether simple. For whatever
 is from God must imitate Him. Thus from the first being are all
 beings; and from the first good is all good. But in the things which
 God has made, nothing is altogether simple. Therefore neither is God
 altogether simple.
"," Further, whatever is best must be attributed to God. But
 with us that which is composite is better than that which is simple;
 thus, chemical compounds are better than simple elements, and animals
 than the parts that compose them. Therefore it cannot be said that God
 is altogether simple.
",,,,,,,,,,,,,,,," Whatever is from God imitates Him, as caused
 things imitate the first cause. But it is of the essence of a thing to
 be in some sort composite; because at least its existence differs from
 its essence, as will be shown hereafter, (Q. 4, A. 3).
"," With us composite things are better than simple
 things, because the perfections of created goodness cannot be found in
 one simple thing, but in many things. But the perfection of divine
 goodness is found in one simple thing (QQ. 4, A. 1, and 6, A. 2).
",,,,,,,,,,,,,,
20,"[I, Q. 3, Art. 8]
","Whether God Enters into the Composition of Other Things?
"," It seems that God enters into the composition of other
 things, for Dionysius says (Coel. Hier. iv): ""The being of all things
 is that which is above being--the Godhead."" But the being of all
 things enters into the composition of everything. Therefore God enters
 into the composition of other things.
"," Further, God is a form; for Augustine says (De Verb.
 Dom. [Serm. xxxviii]) that, ""the word of God, which is God, is an
 uncreated form."" But a form is part of a compound. Therefore God is
 part of some compound.
"," Further, whatever things exist, in no way differing from
 each other, are the same. But God and primary matter exist, and in no
 way differ from each other. Therefore they are absolutely the same.
 But primary matter enters into the composition things. Therefore also
 does God. Proof of the minor--whatever things differ, they differ by
 some differences, and therefore must be composite. But God and primary
 matter are altogether simple. Therefore they nowise differ from each
 other.
",,,,,,,,,,,,,,," The Godhead is called the being of all things,
 as their efficient and exemplar cause, but not as being their essence.
"," The Word is an exemplar form; but not a form
 that is part of a compound.
"," Simple things do not differ by added
 differences--for this is the property of compounds. Thus man and
 horse differ by their differences, rational and irrational; which
 differences, however, do not differ from each other by other
 differences. Hence, to be quite accurate, it is better to say that
 they are, not different, but diverse. Hence, according to the
 Philosopher (Metaph. x), ""things which are diverse are absolutely
 distinct, but things which are different differ by something.""
 Therefore, strictly speaking, primary matter and God do not differ,
 but are by their very being, diverse. Hence it does not follow they
 are the same.
",,,,,,,,,,,,,
21,"[I, Q. 4, Art. 1]
","Whether God is Perfect?
"," It seems that perfection does not belong to God. For we
 say a thing is perfect if it is completely made. But it does not befit
 God to be made. Therefore He is not perfect.
"," Further, God is the first beginning of things. But the
 beginnings of things seem to be imperfect, as seed is the beginning of
 animal and vegetable life. Therefore God is imperfect.
"," Further, as shown above (Q. 3, A. 4), God's essence
 is existence. But existence seems most imperfect, since it is most
 universal and receptive of all modification. Therefore God is
 imperfect.
",,,,,,,,,,,,,,," As Gregory says (Moral. v, 26,29): ""Though our
 lips can only stammer, we yet chant the high things of God."" For that
 which is not made is improperly called perfect. Nevertheless because
 created things are then called perfect, when from potentiality they
 are brought into actuality, this word ""perfect"" signifies whatever is
 not wanting in actuality, whether this be by way of perfection or not.
"," The material principle which with us is found to
 be imperfect, cannot be absolutely primal; but must be preceded by
 something perfect. For seed, though it be the principle of animal life
 reproduced through seed, has previous to it, the animal or plant from
 which is came. Because, previous to that which is potential, must be
 that which is actual; since a potential being can only be reduced into
 act by some being already actual.
"," Existence is the most perfect of all things, for
 it is compared to all things as that by which they are made actual;
 for nothing has actuality except so far as it exists. Hence existence
 is that which actuates all things, even their forms. Therefore it is
 not compared to other things as the receiver is to the received; but
 rather as the received to the receiver. When therefore I speak of the
 existence of man, or horse, or anything else, existence is considered
 a formal principle, and as something received; and not as that which
 exists.
",,,,,,,,,,,,,
22,"[I, Q. 4, Art. 2]
","Whether the Perfections of All Things Are in God?
"," It seems that the perfections of all things are not in
 God. For God is simple, as shown above (Q. 3, A. 7); whereas the
 perfections of things are many and diverse. Therefore the perfections
 of all things are not in God.
"," Further, opposites cannot coexist. Now the perfections of
 things are opposed to each other, for each thing is perfected by its
 specific difference. But the differences by which genera are
 divided, and species constituted, are opposed to each other.
 Therefore because opposites cannot coexist in the same subject, it
 seems that the perfections of all things are not in God.
"," Further, a living thing is more perfect than what merely
 exists; and an intelligent thing than what merely lives. Therefore
 life is more perfect than existence; and knowledge than life. But the
 essence of God is existence itself. Therefore He has not the
 perfections of life, and knowledge, and other similar perfections.
",,,,,,,,,,,,,,," Even as the sun (as Dionysius remarks, (Div.
 Nom. v)), while remaining one and shining uniformly, contains within
 itself first and uniformly the substances of sensible things, and many
 and diverse qualities; a fortiori should all things in a kind of
 natural unity pre-exist in the cause of all things; and thus things
 diverse and in themselves opposed to each other, pre-exist in God as
 one, without injury to His simplicity. This suffices for the Reply to
 the Second Objection.
"," The same Dionysius says (Div. Nom. v) that,
 although existence is more perfect than life, and life than wisdom, if
 they are considered as distinguished in idea; nevertheless, a living
 thing is more perfect than what merely exists, because living things
 also exist and intelligent things both exist and live. Although
 therefore existence does not include life and wisdom, because that
 which participates in existence need not participate in every mode of
 existence; nevertheless God's existence includes in itself life and
 wisdom, because nothing of the perfection of being can be wanting to
 Him who is subsisting being itself.
",,,,,,,,,,,,,,
